token,absolute_shap,occurrences
amazing,0.20288771413163179,4
great,0.1788027917209547,4
best,0.1735709678817105,5
fun,0.1219312558726718,12
recommend,0.11184874050976983,5
no,0.06217821772243813,5
love,0.057352527546592875,6
10,0.05717162654989145,11
because,0.05009828496258706,3
(,0.044001482368684286,3
good,0.043119416365193,3
review,0.04307229139217978,15
/,0.043066047386012295,11
highly,0.04109191655560018,3
works,0.03905019433134132,3
zombies,0.03714399065615403,3
my,0.03554700273644729,8
early,0.03505457253715981,15
would,0.0336819289622303,3
its,0.028621906445672113,3
very,0.024032205641269684,5
i,0.021411784175527384,24
so,0.018952685381684986,7
units,0.01740020156527559,3
well,0.017292263228741903,3
