topic,target,reviews,recommendation,within_topic_share
0,0,1260,Not Recommended,0.04310934720131381
0,1,27968,Recommended,0.9568906527986862
1,0,2316,Not Recommended,0.20741536808167652
1,1,8850,Recommended,0.7925846319183235
2,0,5533,Not Recommended,0.4615833819971636
2,1,6454,Recommended,0.5384166180028364
3,0,4052,Not Recommended,0.3712322491983509
3,1,6863,Recommended,0.6287677508016492
4,0,5029,Not Recommended,0.33120389884088514
4,1,10155,Recommended,0.6687961011591148
5,0,516,Not Recommended,0.11018577834721333
5,1,4167,Recommended,0.8898142216527867
6,0,862,Not Recommended,0.06326605504587156
6,1,12763,Recommended,0.9367339449541284
7,0,1081,Not Recommended,0.09027893769834641
7,1,10893,Recommended,0.9097210623016536
8,0,490,Not Recommended,0.1718092566619916
8,1,2362,Recommended,0.8281907433380085
9,0,3286,Not Recommended,0.3918435487717625
9,1,5100,Recommended,0.6081564512282376
